,Day,Coffee Type,Units Sold,price,revenue
0,Monday,Espresso,15.0,3.99,99.75
1,Monday,Latte,15.0,5.99,89.85000000000001
2,Tuesday,Espresso,21.666666666666668,3.99,119.7
3,Tuesday,Latte,28.333333333333336,5.99,119.80000000000001
4,Wednesday,Espresso,35.0,3.99,139.65
5,Wednesday,Latte,25.0,5.99,149.75
6,Thursday,Espresso,40.0,3.99,159.60000000000002
7,Thursday,Latte,30.0,5.99,179.70000000000002
8,Friday,Espresso,45.0,3.99,179.55
9,Friday,Latte,35.0,5.99,209.65
10,Saturday,Espresso,45.0,3.99,179.55
11,Saturday,Latte,35.0,5.99,209.65
12,Sunday,Espresso,45.0,3.99,179.55
13,Sunday,Latte,35.0,5.99,209.65
